n,time elapsed (ms)
152,0.348069
153,0.339201
153,0.34957
153,0.351204
154,0.340253
154,0.354691
154,0.352927
155,0.352445
155,0.359139
155,0.355772
156,0.352305
156,0.422191
156,0.363467
157,0.373988
157,0.366272
157,0.368096
158,0.358457
158,0.36952
158,0.454161
159,0.377876
159,0.377334
159,0.372805
160,0.364941
160,0.379407
160,0.371444
161,0.373117
161,0.38094
161,0.3812
162,0.379598
162,0.385209
162,0.381642
163,0.381751
163,0.381832
163,0.4684
164,0.378555
164,0.398104
164,0.389989
165,0.382173
165,0.44846
165,0.393565
166,0.444833
166,0.403054
166,0.397743
167,0.400098
167,0.402712
167,0.394827
168,0.396551
168,0.396581
168,0.403415
169,0.46342
169,0.408564
169,0.414625
170,0.405398
170,0.419565
170,0.40677
171,0.404256
171,0.422832
171,0.412882
172,0.416168
172,0.417079
172,0.517583
173,0.41201
173,0.428813
173,0.497174
174,0.419696
174,0.429614
174,0.428573
175,0.50489
175,0.438532
175,0.435165
176,0.423172
176,0.436909
176,0.436408
177,0.431989
177,0.444303
177,0.444533
178,0.435355
178,0.53146
178,0.443791
179,0.441558
179,0.44306
179,0.440226
180,0.4425
180,0.449562
180,0.532832
181,0.444252
181,0.454542
181,0.453169
182,0.449313
182,0.461075
182,0.457939
183,0.454903
183,0.464051
183,0.53736
184,0.459532
184,0.470783
184,0.462818
185,0.539686
185,0.478128
185,0.46428
186,0.456135
186,0.539766
186,0.4743
187,0.473177
187,0.483978
187,0.484119
188,0.472347
188,0.483147
188,0.478538
189,0.539686
189,0.496744
189,0.487656
190,0.476475
190,0.499348
190,0.489639
191,0.507474
191,0.576857
191,0.560935
192,0.493226
192,0.512123
192,0.501082
193,0.493006
193,0.507795
193,0.499839
194,0.643735
194,0.511992
194,0.512604
195,0.499779
195,0.52673
195,0.509488
196,0.511382
196,0.52661
196,0.51067
197,0.601834
197,0.526732
197,0.524045
198,0.516511
198,0.534385
198,0.523314
199,0.521651
199,0.620942
199,0.530848
200,0.534506
200,0.543163
200,0.539004
201,0.527261
201,0.550126
201,0.61484
202,0.528033
202,0.543123
202,0.540417
203,0.541489
203,0.544455
203,0.554745
204,0.599321
204,0.558952
204,0.544184
205,0.544334
205,0.559413
205,0.549274
206,0.548753
206,0.644648
206,0.564163
207,0.548582
207,0.576295
207,0.56803
208,0.556578
208,0.57363
208,0.696366
209,0.559613
209,0.575956
209,0.572338
210,0.567899
210,0.594101
210,0.581666
211,0.652732
211,0.589551
211,0.574813
212,0.574002
212,0.586726
212,0.592497
213,0.661349
213,0.597577
213,0.59925
214,0.582609
214,0.597356
214,0.595272
215,0.584831
215,0.692058
215,0.598949
216,0.584802
216,0.614198
216,0.604169
217,0.595713
217,1.24588
217,0.60971
218,0.602677
218,0.613928
218,0.611613
219,0.613297
219,0.723228
219,0.612114
220,0.612025
220,0.636962
220,0.614649
221,0.613066
221,0.711294
221,0.621814
222,0.61953
222,0.633265
222,0.625169
223,0.686347
223,0.754538
223,0.641441
224,0.641892
224,0.66173
224,0.633946
225,0.741473
225,0.718267
225,0.645628
226,0.636281
226,0.653944
226,0.650537
227,0.632944
227,0.732145
227,0.666278
228,0.644707
228,0.673072
228,0.650979
229,0.650116
229,0.748737
229,0.66184
230,0.650869
230,0.679594
230,0.663373
231,0.654715
231,0.768615
231,0.684673
232,0.664214
232,0.696095
232,0.679635
233,0.766721
233,0.687529
233,0.691728
234,0.679875
234,0.702969
234,0.685907
235,0.762022
235,0.702889
235,0.68851
236,0.683432
236,0.70933
236,0.762322
237,0.688641
237,0.71914
237,0.698621
238,0.695084
238,0.791179
238,0.794204
239,0.695345
239,0.733538
239,0.715694
240,0.702609
240,0.78166
240,0.715573
241,0.709141
241,0.737796
241,0.715632
242,0.711306
242,0.806567
242,0.726094
243,0.715293
243,0.74502
243,0.728658
244,0.779256
244,0.739859
244,0.741783
245,0.732977
245,0.752213
245,0.826115
246,0.730893
246,0.761021
246,0.741973
247,0.736282
247,0.818691
247,0.805936
248,0.73495
248,0.774326
248,0.760158
249,0.987796
249,0.773244
249,0.751684
250,0.756491
250,0.772053
250,0.774496
251,0.825104
251,0.795797
251,0.774496
252,0.775458
252,0.850121
252,0.845071
253,0.765238
253,0.791899
253,0.785557
254,0.782742
254,0.87537
254,0.789886
255,0.785849
255,0.794585
255,0.789926
256,1.7326
256,0.810024
256,0.806326
257,0.999267
257,0.944582
257,0.84913
258,0.851544
258,0.925225
258,0.922038
259,0.876071
259,0.937188
259,0.863637
260,0.940144
260,0.949621
260,0.869328
261,0.879427
261,1.10962
261,0.869729
262,0.874338
262,0.940193
262,1.10262
263,0.895618
263,0.939933
263,0.887683
264,0.894487
264,1.0353
264,0.890139
265,0.894697
265,0.971655
265,0.974741
266,0.902461
266,1.0894
266,0.900688
267,1.00809
267,0.968568
267,0.909675
268,0.911679
268,1.0522
268,0.921878
269,0.919274
269,0.982585
269,1.03146
270,0.934863
270,0.999277
270,0.928192
271,1.08087
271,1.01019
271,0.93808
272,0.939694
272,1.08371
272,0.952939
273,0.954191
273,1.03859
273,1.01985
274,1.08041
274,1.03177
274,0.967957
275,1.44626
275,1.05168
275,0.983045
276,1.15217
276,1.04496
276,0.978678
277,0.982205
277,1.11117
277,0.973478
278,0.992425
278,1.05646
278,0.974229
279,0.982766
279,1.05189
279,0.968027
280,1.11384
280,1.18851
280,1.02409
281,1.14031
281,1.06944
281,1.00181
282,1.00552
282,1.06961
282,1.10196
283,1.00369
283,1.07512
283,0.993846
284,1.00611
284,1.07838
284,1.01214
285,1.49077
285,1.13575
285,1.05856
286,1.42599
286,1.1353
286,1.07485
287,1.20053
287,1.1207
287,1.03745
288,1.05824
288,1.90642
288,1.05239
289,1.17355
289,1.31833
289,1.05634
290,1.26834
290,1.34074
290,1.04688
291,1.07285
291,1.17109
291,1.1517
292,1.15373
292,1.17332
292,1.06995
293,1.07361
293,1.15551
293,1.36834
294,1.1013
294,1.16955
294,1.09448
295,1.42064
295,1.19039
295,1.12165
296,1.27239
296,1.26364
296,1.21463
297,1.10221
297,1.23738
297,1.09954
298,1.11631
298,1.36221
298,1.10076
299,1.13561
299,1.36973
299,1.10291
300,1.13625
300,1.21865
300,1.20348
301,1.12571
301,1.19153
301,1.79357
302,1.28763
302,1.29256
302,1.13349
303,1.13731
303,1.21287
303,1.26848
304,1.14871
304,1.21953
304,1.1489
305,1.22101
305,1.22145
305,1.46336
306,1.14256
306,1.22189
306,1.18806
307,1.23708
307,1.24963
307,1.18572
308,1.22609
308,1.23025
308,1.15768
309,1.24481
309,1.2519
309,1.17769
310,1.17413
310,1.36789
310,1.2303
311,1.16733
311,1.33768
311,1.16009
312,1.17424
312,1.24914
312,1.24665
313,1.18678
313,1.4003
313,1.19275
314,1.21901
314,1.2707
314,1.20926
315,1.20947
315,1.35669
315,1.26164
316,1.29617
316,1.29711
316,1.28862
317,1.26203
317,1.42599
