n,time elapsed (ms)
152,0.000551
153,0.000541
153,0.000571
153,0.000602
154,0.000541
154,0.000562
154,0.000601
155,0.002554
155,0.000561
155,0.000561
156,0.000571
156,0.000541
156,0.000591
157,0.000571
157,0.000561
157,0.000611
158,0.000581
158,0.000541
158,0.000571
159,0.000611
159,0.000591
159,0.000571
160,0.000581
160,0.000571
160,0.000582
161,0.000611
161,0.000591
161,0.000581
162,0.000601
162,0.000571
162,0.000572
163,0.000621
163,0.000562
163,0.000561
164,0.000611
164,0.000571
164,0.000581
165,0.000581
165,0.000591
165,0.000571
166,0.000601
166,0.000601
166,0.000621
167,0.000622
167,0.000591
167,0.000611
168,0.000601
168,0.000581
168,0.000601
169,0.000631
169,0.000591
169,0.000591
170,0.000601
170,0.000592
170,0.000601
171,0.000641
171,0.000631
171,0.000641
172,0.000611
172,0.000651
172,0.000621
173,0.000602
173,0.000591
173,0.000762
174,0.000641
174,0.000651
174,0.000742
175,0.000751
175,0.000641
175,0.000611
176,0.000632
176,0.000631
176,0.000622
177,0.000641
177,0.000601
177,0.000641
178,0.000611
178,0.000601
178,0.000632
179,0.003296
179,0.000621
179,0.000611
180,0.000651
180,0.000651
180,0.000622
181,0.000661
181,0.000611
181,0.000651
182,0.000631
182,0.000611
182,0.000641
183,0.000661
183,0.000651
183,0.000621
184,0.000641
184,0.000621
184,0.000631
185,0.000641
185,0.000621
185,0.000631
186,0.000651
186,0.000641
186,0.000641
187,0.000661
187,0.000621
187,0.000671
188,0.000662
188,0.000632
188,0.000662
189,0.001863
189,0.001844
189,0.000621
190,0.000641
190,0.000651
190,0.000651
191,0.000761
191,0.000631
191,0.000641
192,0.000651
192,0.000641
192,0.000661
193,0.000692
193,0.000642
193,0.000691
194,0.000652
194,0.000671
194,0.000662
195,0.000661
195,0.000681
195,0.000662
196,0.000661
196,0.000651
196,0.000642
197,0.000661
197,0.000661
197,0.000692
198,0.000691
198,0.000682
198,0.000662
199,0.001974
199,0.000701
199,0.000662
200,0.000691
200,0.000692
200,0.000671
201,0.000701
201,0.000701
201,0.000672
202,0.000701
202,0.000722
202,0.000681
203,0.000701
203,0.000702
203,0.000681
204,0.000732
204,0.000691
204,0.000691
205,0.000712
205,0.000671
205,0.000691
206,0.000702
206,0.000681
206,0.000711
207,0.000741
207,0.000682
207,0.000692
208,0.000732
208,0.000731
208,0.000711
209,0.000712
209,0.000691
209,0.000691
210,0.000701
210,0.000731
210,0.000712
211,0.000822
211,0.000711
211,0.000721
212,0.000751
212,0.000701
212,0.000701
213,0.000852
213,0.000701
213,0.000711
214,0.000711
214,0.000711
214,0.000722
215,0.000782
215,0.000721
215,0.000721
216,0.000711
216,0.000721
216,0.000721
217,0.000732
217,0.000711
217,0.000751
218,0.000741
218,0.000741
218,0.000721
219,0.002635
219,0.000761
219,0.000732
220,0.000722
220,0.000752
220,0.000731
221,0.000731
221,0.000681
221,0.000761
222,0.000792
222,0.000721
222,0.000731
223,0.000781
223,0.000821
223,0.000761
224,0.000811
224,0.000782
224,0.000752
225,0.000761
225,0.000731
225,0.000732
226,0.000781
226,0.000762
226,0.000781
227,0.000912
227,0.000742
227,0.000761
228,0.000752
228,0.000801
228,0.000772
229,0.000791
229,0.000772
229,0.000781
230,0.000792
230,0.000771
230,0.000772
231,0.000801
231,0.000782
231,0.000761
232,0.000782
232,0.000741
232,0.000782
233,0.000751
233,0.000752
233,0.000772
234,0.000771
234,0.000752
234,0.000761
235,0.000882
235,0.000792
235,0.000782
236,0.001112
236,0.000801
236,0.000762
237,0.000802
237,0.000752
237,0.000772
238,0.000791
238,0.000762
238,0.000792
239,0.003366
239,0.000771
239,0.000831
240,0.000791
240,0.000801
240,0.000772
241,0.000771
241,0.000801
241,0.000781
242,0.000802
242,0.000751
242,0.000792
243,0.000842
243,0.000831
243,0.000811
244,0.000851
244,0.000821
244,0.000831
245,0.000801
245,0.000821
245,0.000841
246,0.000821
246,0.000862
246,0.000822
247,0.000892
247,0.000751
247,0.000791
