n,time elapsed (ms)
456,0.001403
457,0.001423
458,0.011622
459,0.001423
460,0.001383
461,0.001403
462,0.001383
463,0.001393
464,0.001453
465,0.001403
466,0.001423
467,0.001382
468,0.001442
469,0.001432
470,0.001403
471,0.001413
472,0.001423
473,0.001412
474,0.001403
475,0.001403
476,0.001433
477,0.001423
478,0.001462
479,0.001483
480,0.001443
481,0.001452
482,0.001443
483,0.001452
484,0.001463
485,0.001493
486,0.001464
487,0.001493
488,0.001463
489,0.001463
490,0.001453
491,0.001442
492,0.001472
493,0.001483
494,0.001483
495,0.001473
496,0.001493
497,0.001493
498,0.001482
499,0.001512
500,0.001492
501,0.001483
502,0.001503
503,0.001593
504,0.001533
505,0.001503
506,0.001563
507,0.001552
508,0.001513
509,0.001502
510,0.001513
511,0.001502
512,0.001543
513,0.001663
514,0.001583
515,0.001613
516,0.001744
517,0.001542
518,0.001553
519,0.001573
520,0.001553
521,0.001533
522,0.001603
523,0.001593
524,0.001573
525,0.001573
526,0.001553
527,0.001583
528,0.001593
529,0.001563
530,0.001624
531,0.001583
532,0.001644
533,0.001573
534,0.001563
535,0.001663
536,0.001663
537,0.001633
538,0.001583
539,0.002584
540,0.002114
541,0.002064
542,0.002064
543,0.002014
544,0.002054
545,0.002044
546,0.002014
547,0.002054
548,0.002325
549,0.002043
550,0.002054
551,0.002084
552,0.002064
553,0.002064
554,0.002124
555,0.002094
556,0.002064
557,0.002084
558,0.002054
559,0.002124
560,0.002124
561,0.002094
562,0.002074
563,0.006012
564,0.002365
565,0.002144
566,0.002144
567,0.002094
568,0.002114
569,0.002084
570,0.002114
571,0.002154
572,0.002155
573,0.002104
574,0.002214
575,0.002135
576,0.002134
577,0.002093
578,0.002134
579,0.002144
580,0.002134
581,0.002124
582,0.002224
583,0.002205
584,0.002214
585,0.002164
586,0.002224
587,0.002234
588,0.002224
589,0.002215
590,0.002184
591,0.002164
592,0.002194
593,0.002204
594,0.002225
595,0.002224
596,0.002224
597,0.002234
598,0.002285
599,0.002975
600,0.001863
601,0.001833
602,0.001793
603,0.001793
604,0.001794
605,0.001784
606,0.001804
607,0.001854
608,0.001863
609,0.001803
610,0.001824
611,0.001784
612,0.001823
613,0.001833
614,0.001843
615,0.001853
616,0.001884
617,0.001893
618,0.001854
619,0.001813
620,0.001854
621,0.001823
622,0.001843
623,0.001883
624,0.001835
625,0.001833
626,0.001874
627,0.001994
628,0.002114
629,0.001874
630,0.001854
631,0.001874
632,0.001904
633,0.001934
634,0.001884
635,0.001904
636,0.001894
637,0.001935
638,0.001924
639,0.001894
640,0.001894
641,0.001914
642,0.001884
643,0.002134
644,0.001944
645,0.001984
646,0.001894
647,0.001893
648,0.001974
649,0.001904
650,0.001933
651,0.001924
652,0.001944
653,0.001944
654,0.001934
655,0.001914
656,0.002054
657,0.001943
658,0.001954
659,0.001914
660,0.001973
661,0.002004
662,0.001994
663,0.001984
664,0.001923
665,0.001964
666,0.001964
667,0.001974
668,0.002023
669,0.001953
670,0.001954
671,0.001954
672,0.002024
673,0.001994
674,0.002004
675,0.001994
676,0.001994
677,0.001964
678,0.001974
679,0.002014
680,0.002024
681,0.002034
682,0.001983
683,0.002074
684,0.001993
685,0.001994
686,0.002053
687,0.002065
688,0.002013
689,0.002014
690,0.001994
691,0.002044
692,0.002014
693,0.002034
694,0.002073
695,0.002104
696,0.002054
697,0.002084
698,0.002114
699,0.002054
700,0.002033
701,0.002033
702,0.002034
703,0.002054
704,0.002074
705,0.002094
706,0.002124
707,0.002054
708,0.002074
709,0.002145
710,0.002074
711,0.002124
712,0.002124
713,0.002094
714,0.002074
715,0.002144
716,0.002154
717,0.002074
718,0.002134
719,0.002154
720,0.002144
721,0.002154
722,0.005981
723,0.002114
724,0.002114
725,0.002124
726,0.002124
727,0.002154
728,0.002154
729,0.002104
730,0.002134
731,0.002144
732,0.002144
733,0.002144
734,0.002114
735,0.002184
736,0.002154
737,0.002184
738,0.002174
739,0.002194
740,0.002174
741,0.002204
742,0.002214
743,0.002164
744,0.002194
745,0.002214
746,0.002224
747,0.002184
748,0.002184
749,0.002204
750,0.002214
751,0.002294
752,0.002184
753,0.002204
754,0.002204
755,0.002204
756,0.002204
757,0.002254
758,0.002215
759,0.002294
760,0.002204
761,0.002264
762,0.002224
763,0.002525
764,0.002244
765,0.002244
766,0.002214
767,0.002224
768,0.002234
769,0.002224
770,0.002274
771,0.002284
772,0.002525
773,0.007454
774,0.002254
775,0.002235
776,0.002275
777,0.002254
778,0.002274
779,0.002275
780,0.002314
781,0.002275
782,0.002324
783,0.002285
784,0.002284
785,0.002254
786,0.002304
787,0.002254
788,0.002405
789,0.002344
790,0.002274
791,0.002325
792,0.002314
793,0.002314
794,0.002334
795,0.002284
796,0.002355
797,0.002315
798,0.002294
799,0.002334
800,0.002375
801,0.002315
802,0.002335
803,0.002395
804,0.002344
805,0.002324
806,0.002334
807,0.002334
808,0.002355
809,0.002355
810,0.002385
811,0.002345
